Season,Conference,W,L,OT,P,ROW,HROW,RROW,P%,G/GP,GA/GP,5-5 F/A,PP%,PK%,S/GP,SA/GP,Sc 1%,Tr 1st%,Ld 1%,Ld 2%,OS%,OSB%,FO%,Team,PGP,PW,PL,POT,PG/GP,PGA/GP,P5-5 F/A,PPP,PPK,PS/GP,PSA/GP,PSc 1%,PTr 1st%,PLd 1%,PLd 2%,POS%,POSB%,PFO%,Playoffs,StanleyCup
2007-2008,West,44,28,10,98,41,25,16,0.598,2.68,2.56,0.97,18.9,85.2,27,30.1,0.8,0.216,0.767,0.889,0.5,0.6,47.3,MINNESOTA,6,2,4,1,2,2.83,0.78,14.3,80,33.3,30.2,0,0.333,0,0,0.25,0.5,50.7,1,0
2007-2008,East,47,25,10,104,42,20,22,0.634,3.13,2.63,1.06,24.1,82.5,29.1,31.6,0.776,0.273,0.848,0.865,0.607,0.583,49,MONTREAL,12,5,7,1,2.75,2.92,0.87,14.6,84.1,33.2,27.8,0.571,0.2,0.5,0.8,0.5,0.25,50.5,1,0
2007-2008,West,41,32,9,91,38,21,17,0.555,2.77,2.73,1.01,14.8,85.4,29.6,29.8,0.773,0.184,0.8,0.929,0.487,0.513,50.5,NASHVILLE,6,2,4,1,2,2.83,0.82,8.7,88.5,24,40.3,1,0.2,1,1,1,0.2,47.6,1,0
2007-2008,East,46,29,7,99,38,19,19,0.604,2.42,2.35,1.02,15.6,82.8,28.8,27.5,0.725,0.405,0.806,0.879,0.609,0.514,50.4,NEW JERSEY,5,1,4,0,2.4,3.8,0.64,20.8,76.5,28.8,30,0.5,0,0,1,0.5,0,52.3,1,0
2007-2008,East,35,38,9,79,30,17,13,0.482,2.3,2.93,0.89,14.6,81.9,29.7,30.3,0.684,0.205,0.696,0.88,0.361,0.467,51,NY ISLANDERS,,,,,,,,,,,,,,,,,,,0,0
2007-2008,East,42,27,13,97,34,21,13,0.591,2.5,2.32,1.14,16.5,84.6,31.5,25.9,0.681,0.286,0.758,0.871,0.5,0.5,52.3,NY RANGERS,10,5,5,2,3.1,2.7,1.25,16.7,79.2,29.5,28.8,0.8,0.2,0.667,0.75,0.8,0.2,50.7,1,0
2007-2008,East,43,31,8,94,40,20,20,0.573,3.15,2.95,1.1,18.3,81,30.1,30,0.723,0.257,0.786,0.857,0.512,0.55,51.7,OTTAWA,4,0,4,0,1.25,4,0.5,7.7,73.9,28,40.2,0,0,0,0,0,0,53.4,1,0
2007-2008,East,42,29,11,95,39,20,19,0.579,2.99,2.77,0.9,21.8,83.2,28.8,31.8,0.674,0.333,0.773,0.882,0.633,0.438,49.3,PHILADELPHIA,17,9,8,1,3.06,3.18,0.97,22.4,76,29.9,31.9,0.778,0.25,0.667,0.875,0.667,0.455,51,1,0
2007-2008,West,38,37,7,83,33,14,19,0.506,2.55,2.74,0.89,18.6,80.7,30.5,30.7,0.771,0.234,0.7,0.818,0.538,0.4,48.6,PHOENIX,,,,,,,,,,,,,,,,,,,0,0
2007-2008,East,47,27,8,102,40,24,16,0.622,2.93,2.58,1.14,20.4,81,27.7,30.8,0.725,0.429,0.808,0.9,0.71,0.48,46.1,PITTSBURGH,20,14,6,0,3.05,2.15,1.21,22.8,87.1,29.7,30.6,0.923,0.286,1,1,0.909,0.444,47.2,1,0
2007-2008,West,49,23,10,108,43,20,23,0.659,2.63,2.28,1.07,18.7,85.8,29.6,24.2,0.679,0.423,0.667,0.921,0.649,0.476,51.2,SAN JOSE,13,6,7,3,2.31,2.46,0.95,14.3,75,31.9,25.7,0.333,0.571,0,0.5,0.444,0.5,52.9,1,0
2007-2008,West,33,36,13,79,30,19,11,0.482,2.46,2.83,0.94,14.1,84.4,26.1,27.4,0.575,0.238,0.762,0.815,0.406,0.404,51.8,ST LOUIS,,,,,,,,,,,,,,,,,,,0,0
2007-2008,East,31,42,9,71,29,19,10,0.433,2.7,3.24,0.76,19.3,82,28.7,28.2,0.579,0.205,0.75,0.742,0.366,0.41,49.7,TAMPA BAY,,,,,,,,,,,,,,,,,,,0,0
2007-2008,East,36,35,11,83,33,17,16,0.506,2.78,3.12,0.96,17.8,78.1,31,29.3,0.595,0.311,0.565,0.759,0.372,0.528,49.8,TORONTO,,,,,,,,,,,,,,,,,,,0,0
2007-2008,West,39,33,10,88,33,18,15,0.537,2.52,2.51,1,17.1,82.6,27.5,28.9,0.714,0.225,0.692,0.931,0.529,0.419,48.7,VANCOUVER,,,,,,,,,,,,,,,,,,,0,0
2007-2008,East,43,31,8,94,39,21,18,0.573,2.9,2.77,1.06,18.8,80.5,31,27.5,0.698,0.333,0.724,0.9,0.519,0.56,51.2,WASHINGTON,7,3,4,2,2.86,3.29,0.92,22.9,77.8,31.1,34.7,0.667,0.25,1,0.5,0.667,0.25,49,1,0
2008-2009,West,42,33,7,91,35,19,16,0.555,2.9,2.87,1.09,23.6,79.7,30.3,30.5,0.791,0.205,0.76,0.963,0.425,0.625,49.8,ANAHEIM,13,7,6,1,2.69,2.46,1.17,26,80,26.8,40.9,0.714,0.333,1,1,0,0.538,46.1,1,0
2008-2009,East,35,41,6,76,28,15,13,0.463,3.05,3.4,0.95,19.3,76,28.1,32.7,0.667,0.209,0.769,0.917,0.5,0.404,51.2,WINNIPEG(ATLANTA),,,,,,,,,,,,,,,,,,,0,0
